Clade	FractionZero	FractionZeroNG	Ali_Length	N_HV_Sites
Int8908_92_169_R_11	0.574665293511843	0.961894953656025	971	0
Int9000_84_90_L_60	0.23010752688172	0.888172043010753	1395	3
Int9000_84_90_R_17	0.334749362786746	0.583687340696686	1177	0
Int9000_84_91_R_7	0.382958801498127	0.908239700374532	1068	0
Int9156_236_260_L_56	0.765639589169001	0.932773109243697	1071	0
Int9156_236_260_R_54	0.472118959107807	0.95910780669145	1076	0
Int9156_236_262_R_22	0.514836795252225	0.789317507418398	1348	0
Int9156_236_284_R_6	0.923777019340159	0.959044368600683	879	0
Int9156_236_291_R_7	0.438230383973289	0.812186978297162	1198	0
Int9156_236_297_R_14	0.427976686094921	0.992506244796003	1201	0
Int9156_236_313_R_24	0.450248756218905	0.699004975124378	1206	20
Int9156_236_337_R_19	0.869822485207101	0.988165680473373	1183	0
Int9156_236_355_R_32	0.327272727272727	0.922077922077922	1155	0
Int9457_231_249_L_57	0.412055335968379	0.810276679841897	1012	0
Int9457_231_251_R_13	0.83640081799591	0.976482617586912	978	0
Int9457_231_264_R_50	0.514285714285714	0.820276497695853	1085	1
Int9457_231_313_R_56	0.37567084078712	0.805903398926655	1118	1
Int9457_231_369_R_54	0.342034203420342	0.862286228622862	1111	0
Int9687_297_319_L_40	0.688651794374394	0.922405431619787	1031	0
Int9687_297_321_R_58	0.472517730496454	0.913120567375887	1128	0
Int9687_297_380_R_42	0.144248326232502	0.835057821059038	1643	6
Int9687_297_382_R_27	0.277732793522267	0.849392712550607	1235	0
Int9687_297_408_R_19	0.420303605313093	0.932637571157495	1054	0
Int9687_297_427_R_29	0.327064595257563	0.847914963205233	1223	0
Int9687_297_456_R_8	0.947418738049713	0.988527724665392	1046	0
Int9687_297_467_R_9	0.885764499121265	0.94112478031634506	1138	1
Int9687_297_516_R_10	0.565142364106989	0.942191544434858	1159	0
Int9687_297_525_R_30	0.443755535872453	0.860938883968113	1129	1
Int9687_297_554_R_4	0.58987090367428	0.988083416087388	1007	0
